epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,12592.2,inf,0.94391,0.88429,0.71559,0.78294,0.82617,0.82617,0.05463,0.62241,0.18732,0.00208,0.00208,0.00208
82,12840.7,0.03288,0.93152,0.88277,0.71591,0.7836,0.8263,0.8263,0.05447,0.62249,0.18715,0.001981,0.001981,0.001981
83,13092.6,inf,0.93937,0.88444,0.71577,0.78363,0.82634,0.82634,0.05432,0.62241,0.18689,0.001882,0.001882,0.001882
84,13341,0.03191,0.92841,0.882,0.71611,0.78359,0.82652,0.82652,0.05407,0.62234,0.18664,0.001783,0.001783,0.001783
85,13590.1,inf,0.9299,0.8848,0.71703,0.7827,0.82666,0.82666,0.05382,0.62229,0.1863,0.001684,0.001684,0.001684
86,13838.7,0.03144,0.92277,0.88338,0.71842,0.78184,0.8268,0.8268,0.05358,0.62221,0.18606,0.001585,0.001585,0.001585
87,14087.9,0.03112,0.91994,0.88412,0.72477,0.77608,0.8269,0.8269,0.05329,0.62237,0.18576,0.001486,0.001486,0.001486
88,14337.2,0.03095,0.91578,0.88347,0.72298,0.77715,0.82695,0.82695,0.05307,0.62279,0.18548,0.001387,0.001387,0.001387
89,14586.4,0.03073,0.91292,0.88227,0.72344,0.77641,0.82694,0.82694,0.053,0.62307,0.1853,0.001288,0.001288,0.001288
90,14835.1,0.03054,0.90845,0.8841,0.72397,0.77752,0.82701,0.82701,0.05306,0.62365,0.18528,0.001189,0.001189,0.001189
91,15097.8,0.02238,0.40951,0.89606,0.72784,0.77444,0.82688,0.82688,0.05296,0.6239,0.18515,0.00109,0.00109,0.00109
92,15346.1,0.02039,0.37826,0.89949,0.72784,0.77433,0.82714,0.82714,0.0529,0.62424,0.18505,0.000991,0.000991,0.000991
93,15595,0.01967,0.3676,0.89724,0.72852,0.77247,0.82735,0.82735,0.05312,0.62487,0.18524,0.000892,0.000892,0.000892
94,15843.7,0.01906,0.35191,0.89755,0.72887,0.77197,0.82761,0.82761,0.05351,0.62547,0.18557,0.000793,0.000793,0.000793
95,16092.8,0.01887,0.33828,0.89494,0.72802,0.77113,0.82774,0.82774,0.0541,0.62705,0.18611,0.000694,0.000694,0.000694
96,16341.7,0.01845,0.32405,0.89472,0.7288,0.77068,0.82788,0.82788,0.05519,0.62927,0.18714,0.000595,0.000595,0.000595
97,16590.1,0.01787,0.31774,0.89765,0.72983,0.76953,0.82808,0.82808,0.05604,0.63122,0.18797,0.000496,0.000496,0.000496
98,16839.4,0.01787,0.30334,0.8952,0.73246,0.76689,0.82809,0.82809,0.0571,0.63397,0.18907,0.000397,0.000397,0.000397
99,17088.4,0.01761,0.29156,0.89335,0.73399,0.76443,0.82809,0.82809,0.05857,0.63688,0.19058,0.000298,0.000298,0.000298
100,17336.7,0.01732,0.2785,0.89424,0.7358,0.76206,0.82809,0.82809,0.06036,0.64087,0.19252,0.000199,0.000199,0.000199
